chunk_id,assigned_user_id,buyer_name,buyer_fname,buyer_lname,period_start,period_end,period_year,period_quarter,period_label,total_leads,total_upsheets,leads_with_opportunity,total_opportunities,opportunity_upsheets,delivered_upsheets,sold_upsheets,delivered_opportunity_upsheets,total_expected_amount,latest_expected_amount,avg_sale_value,realization_amount,lead_to_opportunity_conversion_rate,close_rate,total_sale_value,realization_percent,workload_band,conversion_band,execution_band,value_band,realization_band,doc_type,kpi_version,source_file,chunk_text
kpi_buyer_1_2018_q1,1,Buyer1 User1,Buyer1,User1,2018-01-01,2018-03-31,2018,1,2018 Q1,1,1,1,0,0,1,0,1,0.00,0.00,,0.00,100.00,,0.00,,low workload,strong conversion,no closing activity,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer1 User1
Period: 2018 Q1
Period Start: 2018-01-01
Period End: 2018-03-31

KPI Snapshot
Total Leads: 1
Total Upsheets: 1
Conversion Rate: 100.00%
Close Rate: N/A
Total Sale Value: 0.00

Interpretation
Buyer1 User1 recorded low workload in 2018 Q1.
Lead conversion performance was strong conversion, while closing execution was no closing activity.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00.
No closing basis was available for this quarter (no opportunities reached a closing stage)."
kpi_buyer_1_2026_q1,1,Buyer1 User1,Buyer1,User1,2026-01-01,2026-03-31,2026,1,2026 Q1,0,0,0,1,1,0,0,0,5125.00,5125.00,,0.00,,0.00,0.00,,low workload,no conversion activity,weak execution,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer1 User1
Period: 2026 Q1
Period Start: 2026-01-01
Period End: 2026-03-31

KPI Snapshot
Total Leads: 0
Total Upsheets: 0
Conversion Rate: N/A
Close Rate: 0.00%
Total Sale Value: 0.00

Interpretation
Buyer1 User1 recorded low workload in 2026 Q1.
Lead conversion performance was no conversion activity, while closing execution was weak execution.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00."
kpi_buyer_2_2018_q1,2,Buyer2 User2,Buyer2,User2,2018-01-01,2018-03-31,2018,1,2018 Q1,1,1,1,0,0,1,0,1,0.00,0.00,,0.00,100.00,,0.00,,low workload,strong conversion,no closing activity,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer2 User2
Period: 2018 Q1
Period Start: 2018-01-01
Period End: 2018-03-31

KPI Snapshot
Total Leads: 1
Total Upsheets: 1
Conversion Rate: 100.00%
Close Rate: N/A
Total Sale Value: 0.00

Interpretation
Buyer2 User2 recorded low workload in 2018 Q1.
Lead conversion performance was strong conversion, while closing execution was no closing activity.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00.
No closing basis was available for this quarter (no opportunities reached a closing stage)."
kpi_buyer_2_2026_q1,2,Buyer2 User2,Buyer2,User2,2026-01-01,2026-03-31,2026,1,2026 Q1,0,0,0,1,1,0,0,0,5250.00,5250.00,,0.00,,0.00,0.00,,low workload,no conversion activity,weak execution,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer2 User2
Period: 2026 Q1
Period Start: 2026-01-01
Period End: 2026-03-31

KPI Snapshot
Total Leads: 0
Total Upsheets: 0
Conversion Rate: N/A
Close Rate: 0.00%
Total Sale Value: 0.00

Interpretation
Buyer2 User2 recorded low workload in 2026 Q1.
Lead conversion performance was no conversion activity, while closing execution was weak execution.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00."
kpi_buyer_3_2018_q1,3,Buyer3 User3,Buyer3,User3,2018-01-01,2018-03-31,2018,1,2018 Q1,1,1,1,0,0,1,1,1,0.00,0.00,6215.00,990.00,100.00,,6215.00,18.95,low workload,strong conversion,no closing activity,low value generation,above target realization,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer3 User3
Period: 2018 Q1
Period Start: 2018-01-01
Period End: 2018-03-31

KPI Snapshot
Total Leads: 1
Total Upsheets: 1
Conversion Rate: 100.00%
Close Rate: N/A
Total Sale Value: 6215.00

Interpretation
Buyer3 User3 recorded low workload in 2018 Q1.
Lead conversion performance was strong conversion, while closing execution was no closing activity.
The buyer generated low value generation, with pricing performance classified as above target realization.
Total realized sale value for this period was 6215.00.
No closing basis was available for this quarter (no opportunities reached a closing stage)."
kpi_buyer_3_2026_q1,3,Buyer3 User3,Buyer3,User3,2026-01-01,2026-03-31,2026,1,2026 Q1,0,0,0,1,1,0,0,0,5225.00,5225.00,,0.00,,0.00,0.00,,low workload,no conversion activity,weak execution,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer3 User3
Period: 2026 Q1
Period Start: 2026-01-01
Period End: 2026-03-31

KPI Snapshot
Total Leads: 0
Total Upsheets: 0
Conversion Rate: N/A
Close Rate: 0.00%
Total Sale Value: 0.00

Interpretation
Buyer3 User3 recorded low workload in 2026 Q1.
Lead conversion performance was no conversion activity, while closing execution was weak execution.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00."
kpi_buyer_4_2018_q1,4,Buyer4 User4,Buyer4,User4,2018-01-01,2018-03-31,2018,1,2018 Q1,1,1,1,0,0,1,1,1,0.00,0.00,6420.00,1070.00,100.00,,6420.00,20.00,low workload,strong conversion,no closing activity,low value generation,above target realization,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer4 User4
Period: 2018 Q1
Period Start: 2018-01-01
Period End: 2018-03-31

KPI Snapshot
Total Leads: 1
Total Upsheets: 1
Conversion Rate: 100.00%
Close Rate: N/A
Total Sale Value: 6420.00

Interpretation
Buyer4 User4 recorded low workload in 2018 Q1.
Lead conversion performance was strong conversion, while closing execution was no closing activity.
The buyer generated low value generation, with pricing performance classified as above target realization.
Total realized sale value for this period was 6420.00.
No closing basis was available for this quarter (no opportunities reached a closing stage)."
kpi_buyer_4_2026_q1,4,Buyer4 User4,Buyer4,User4,2026-01-01,2026-03-31,2026,1,2026 Q1,0,0,0,1,1,0,0,0,5350.00,5350.00,,0.00,,0.00,0.00,,low workload,no conversion activity,weak execution,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer4 User4
Period: 2026 Q1
Period Start: 2026-01-01
Period End: 2026-03-31

KPI Snapshot
Total Leads: 0
Total Upsheets: 0
Conversion Rate: N/A
Close Rate: 0.00%
Total Sale Value: 0.00

Interpretation
Buyer4 User4 recorded low workload in 2026 Q1.
Lead conversion performance was no conversion activity, while closing execution was weak execution.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00."
kpi_buyer_5_2018_q1,5,Buyer5 User5,Buyer5,User5,2018-01-01,2018-03-31,2018,1,2018 Q1,1,1,1,0,0,1,1,1,0.00,0.00,6025.00,550.00,100.00,,6025.00,10.05,low workload,strong conversion,no closing activity,low value generation,above target realization,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer5 User5
Period: 2018 Q1
Period Start: 2018-01-01
Period End: 2018-03-31

KPI Snapshot
Total Leads: 1
Total Upsheets: 1
Conversion Rate: 100.00%
Close Rate: N/A
Total Sale Value: 6025.00

Interpretation
Buyer5 User5 recorded low workload in 2018 Q1.
Lead conversion performance was strong conversion, while closing execution was no closing activity.
The buyer generated low value generation, with pricing performance classified as above target realization.
Total realized sale value for this period was 6025.00.
No closing basis was available for this quarter (no opportunities reached a closing stage)."
kpi_buyer_5_2026_q1,5,Buyer5 User5,Buyer5,User5,2026-01-01,2026-03-31,2026,1,2026 Q1,0,0,0,1,1,0,0,0,5475.00,5475.00,,0.00,,0.00,0.00,,low workload,no conversion activity,weak execution,low value generation,no realization data,buyer_quarterly_kpi,v1,KPIs\large_seed_res\kpi_buyer_quarterly.csv,"Buyer Quarterly Performance Summary

Buyer: Buyer5 User5
Period: 2026 Q1
Period Start: 2026-01-01
Period End: 2026-03-31

KPI Snapshot
Total Leads: 0
Total Upsheets: 0
Conversion Rate: N/A
Close Rate: 0.00%
Total Sale Value: 0.00

Interpretation
Buyer5 User5 recorded low workload in 2026 Q1.
Lead conversion performance was no conversion activity, while closing execution was weak execution.
The buyer generated low value generation, with pricing performance classified as no realization data.
Total realized sale value for this period was 0.00."
